Gender,breakfast,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,marital_status,mother_profession,parents_cook,pay_meal_out,soup,sports,type_sports,veggies_day,vitamins,weight
Male,Cereal,it is moderately important ,980,espresso shown,"chips, cookies, ice cream","I usually only eat comfort food when I'm bored, if i am doing something, i can go for hours without eating ",boredom,"Whenever I can, but that is not very often  ",American,My current diet is eggs and a meat every morning for breakfast. For lunch ill usually have some pasta or rice with a meat and sometimes a side of veggies. for dinner i usually eat less carbs and more protein and veggies. ,the same thing over and over,Soda,"I would say i just eat a little more, but not in a bad way. I have unlimited swipes at the cafe so instead of snacking on chips before lunch or dinner i will get something from the cafe.",worse,bigger quantity,1-2 times ,no,Everyday,self employed construction ,American or Italian ,American,both bought at store and cooked at home,Mcdonald’s fries,neutral ,freshman ,8,"for me usually a big piece of chicken or steak with a side of veggies, and i usually have rice with mine as well","I like how my diet it now. However, after my season i am going to cut back on some carbs because i won't be working out as much.",portion control,"higher than $100,000",neutral,very likely ,In a relationship ,stay at home mom,Almost everyday ,more than $40.01 ,veggie soup,Yes,hockey,likely,no,170
Female,Cereal,it is moderately important ,980,creamy frapuccino,"Chocolate, ice crea ","Sadness, stress",depression/sadness,"Whenever I can, but that is not very often  ",American,I eat lots of fruit and veggies. I eat lots of chicken.,healthy/balanced/moderated/,Orange Juice,I ate at the food hall.,unclear,unclear,2-3 times ,yes part time ,Once a week,Engineer,Chicken ,American,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Sophomore ,6,Everything from food group ,Lots of fruit and veggies. Lots of chicken.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",very unlikely ,very likely ,In a relationship ,Daycare provider,Almost everyday ,$5.01 to $10.00 ,creamy soup,No,dancing ,very likely,yes,135
Male,Cereal,it is not at all important,420,espresso shown,"pizza, wings, Chinese","boredom, sadness, hungry",boredom,I only help a little during holidays ,American,Current diet right now isn't very good. I eat at the school's cafeteria and they do not have the best choices.,unhealthy/cheap/too much/random/,Soda,None really,the same,same food,1-2 times ,no,Twice or three times per week ,architect,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,unlikely ,freshman ,4,"lots of fruits and vegitibles, not any fried foods",Something that tastes good and also is good for you. This is very hard to find though.,balance,"$70,001 to $100,000 ",unlikely,very likely ,Single,physical therapist,Almost everyday ,$10.01 to $20.00 ,veggie soup,nan,basketball,unlikely ,no,165
Male,Cereal,it is moderately important ,980,espresso shown,"Fast food, pizza, subs","happiness, satisfaction",happiness,"Never, I really do not know my way around a kitchen",American,"I eat 2 meals a day, lunch and dinner",unhealthy/cheap/too much/random/,Soda,Late night food,worse,worse quality ,3-5 times ,yes part time ,Everyday,CFO,Mexican,Spanish/mexican,both bought at store and cooked at home,Mcdonald’s fries,unlikely ,Sophomore ,5,"Rice, Meat, vegetable",3 smaller meals a day,portion control,"higher than $100,000",very unlikely ,likely ,Single,Teacher,Almost everyday ,$5.01 to $10.00 ,veggie soup,Yes,Soccer,neutral ,no,175
Male,Cereal,it is moderately important ,315,creamy frapuccino,"chocolate, sweets, ice cream",Mostly boredom,boredom,"Whenever I can, but that is not very often  ",Korean/Asian,"Random. Not strict diet, changes during season",unhealthy/cheap/too much/random/,nan,"Less money, less food :(",worse,less food,Never,yes part time ,Everyday,European logistics director ,Indian,indian,store bought ,Mcdonald’s fries,neutral ,Senior,8,Green and colourful,"Mix of Mexican, Asian, and Italian foods.",more protein,"higher than $100,000",very likely ,very likely ,In a relationship ,House wife,1-2 times a week ,$30.01 to $40.00 ,creamy soup,Yes,Tennis,unlikely ,no,195
Male,Cereal,it is moderately important ,420,creamy frapuccino,"burgers, chips, cookies","sadness, depression ",depression/sadness,"Never, I really do not know my way around a kitchen",Mexican/Spanish,balanced ,healthy/balanced/moderated/,Orange Juice,got worse ,worse,worse quality ,Never,yes part time ,Everyday,accountant ,italian ,Italian/French/greek,cooked at home ,home fries,likely ,freshman ,2,"pasta. veg, water ","fruit, veg and protien ",adding veggies/eating healthier food/adding fruit,"higher than $100,000",very likely ,very likely ,Single,Underwiriter ,1-2 times a week ,$30.01 to $40.00 ,veggie soup,Yes,tennis soccer gym,neutral ,yes,185
Male,Donut,it is moderately important ,420,espresso shown,"Chilli, soup, pot pie",Stress and boredom ,stress,I only help a little during holidays ,American,2 meals a day. Rarely eat snacks. Fairly balanced diet. ,healthy/balanced/moderated/,Orange Juice,Drink coffee all the time. ,worse,drink coffee ,1-2 times ,yes part time ,Once a week,Commercial Real Estate,Asian ,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,neutral ,Junior,4,"Protein, vegetables, grains ",3 healthy meals a day. No caffiene. ,portion control,"$50,001 to $70,000 ",likely,very likely ,Single,Beautician ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,Gaelic Football,likely,yes,185
Female,Cereal,it is not at all important,420,espresso shown,"Soup, pasta, brownies, cake","A long day, not feeling well, winter ",cold weather,Every day ,American,I eat a lot of chicken and try to cook my own meals as much as possible using a lot of rice and vegetables.,healthy/balanced/moderated/,Soda,"I watch the amount of ""snacks"" I eat more than I did in high school.",worse,bigger quantity,3-5 times ,no,nan,Manager at Pepsi,Chinese,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,likely ,Junior,5,A healthy meal is a lean meat with mostly vegetables and a starch like brown rice or quinoa.,I would like to be a person to eat a larger vegetable based diet with little to no processed products in my diet especially sugar and salt.,adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",neutral,very likely ,In a relationship ,Unemployed,Almost everyday ,$10.01 to $20.00 ,creamy soup,No,none,likely,no,105
Female,Donut,it is moderately important ,420,espresso shown,"chocolate, ice cream/milkshake, cookies",boredom,boredom,"Whenever I can, but that is not very often  ",American,"vegetarian, eat breakfast some days before class, can eat a lot of junk food so I refrain from allowing myself to buy any",healthy/balanced/moderated/,Orange Juice,"none, I have dormed since high school",the same,same food,1-2 times ,no,Everyday,VP of ,don't have one,none,both bought at store and cooked at home,Mcdonald’s fries,likely ,freshman ,8,"good portions, lots of color, targets main food groups","healthy, colorful, tasty, room for desserts",adding veggies/eating healthier food/adding fruit,"higher than $100,000",neutral,neutral,Single,Medical biller,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Ice hockey,neutral ,no,125
Male,Cereal,it is not at all important,420,creamy frapuccino,"Chips, ice cream, microwaveable foods ","Boredom, lazyniss ",boredom,"Whenever I can, but that is not very often  ",American,"Most healthy diet, but since I'm an athlete have room for some bad foods to burn off quickly ",healthy/balanced/moderated/,Orange Juice,Tend to eat more fried foods ,worse,worse quality ,1-2 times ,yes part time ,Everyday,Beverage and Food Sales,Italian food ,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Sophomore ,9,"A rice, a vegetable, a piece of meat ","Very healthy diet, and to cook at home with organic foods. ",home cooked/organic,"$70,001 to $100,000 ",very unlikely ,very likely ,In a relationship ,Doctors Billing Assiant ,Almost everyday ,$20.01 to $30.00 ,creamy soup,Yes,Hockey,neutral ,no,160
Male,Cereal,it is very important,980,espresso shown,"Chicken fingers, pizza ",Boredom ,boredom,I only help a little during holidays ,American,Very healthy. Good balance of proteins and vegetables ,healthy/balanced/moderated/,Soda,A lot healthier ,better,healthier,1-2 times ,no,Everyday,Dentist ,Mexican ,Spanish/mexican,cooked at home ,Mcdonald’s fries,very likely ,freshman ,9,"Salad, vegetable, carb, protein ",My current diet,current diet,"higher than $100,000",neutral,likely ,In a relationship ,Dentist ,Almost everyday ,more than $40.01 ,veggie soup,Yes,Lacrosse ,very likely,yes,175
Male,Cereal,it is not at all important,420,espresso shown,"cookies, hot chocolate, beef jerky","survival, bored",boredom,A couple of times a week ,Mexican/Spanish,Whats necessary for survival.  ,unhealthy/cheap/too much/random/,Orange Juice,Too much beef jerky,worse,worse quality ,1-2 times ,yes part time ,Twice or three times per week ,Electrical Engineer,Italian/German,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Junior,4,"Protein, vegetable and grains",Steak and Burgers,more protein,"$70,001 to $100,000 ",very unlikely ,very likely ,Single,Air Traffic Controller,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,unlikely ,yes,180
Male,Cereal,it is not at all important,420,espresso shown,"Tomato soup, pizza, Fritos, Meatball sub, Dr. Pepper","Boredom, anger, drunkeness",boredom,"Whenever I can, but that is not very often  ",nan,anything and everything,unhealthy/cheap/too much/random/,Soda,Eating less vegetables because they are less available to me. ,worse,worse quality ,every day,no,Twice or three times per week ,Radio Telecommunications Manager,Indian food - samosas are amazing,indian,cooked at home ,Mcdonald’s fries,very likely ,Junior,9,"Grilled chicken, mac and cheese, broccoli, apple, milk","Heavy in protein, fruits, and vegetables. ",more protein,"$70,001 to $100,000 ",very likely ,very likely ,Single,Strategic Planning and Programs Manager,Almost everyday ,$20.01 to $30.00 ,veggie soup,No,nan,likely,yes,167
Female,Cereal,it is moderately important ,420,espresso shown,"cookies, mac-n-cheese, brownies, french fries, ","stress, boredom, cold weather",stress,"Whenever I can, but that is not very often  ",American,I eat some vegetables almost everyday and fruit a couple of times a week. I eat meat a few times a week. I dont eat fast food and try to limit fried food.,healthy/balanced/moderated/,Orange Juice,I drink way more coffee and I dont eat at home as often.,worse,drink coffee ,2-3 times ,yes part time ,Twice or three times per week ,nan,mexican,Spanish/mexican,store bought ,Mcdonald’s fries,neutral ,Senior,7,"whole grain carbs, vegetables, a small amount of protein",I would eat enough fruits and vegetables everyday. I would have home cooked food at least 5 days a week. I wouldnt like sugar so much.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",neutral,likely ,In a relationship ,teacher,1-2 times a week ,$10.01 to $20.00 ,creamy soup,Yes,snowboarding,very likely,yes,115
Male,Cereal,it is moderately important ,420,espresso shown,"chips and dip, pepsi, ","stres, boredom, and nighttime",stress,A couple of times a week ,American,"Diet consists of 3000-4000 calories a day well rounded from meats, vegetables, and fruit.",unhealthy/cheap/too much/random/,Soda,none,the same,same food,1-2 times ,no,Twice or three times per week ,deceased,italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,5,"4-6 ounces chicken or fish, side of potatoes, and green beans","diet of 1500-2000 calories of white meat, vegetables, and fruit that are all fresh and not processed",portion control,"$50,001 to $70,000 ",likely,very likely ,Single,management,Almost everyday ,$10.01 to $20.00 ,creamy soup,No,none organized,very likely,yes,205
Male,Cereal,it is moderately important ,315,espresso shown,"Grandma's Chinese, Peruvian food from back home, and sushi",Hunger and Boredom ,hunger,"Never, I really do not know my way around a kitchen",nan,"Not that balanced, but I try not to eat fatty or fried foods.",unhealthy/cheap/too much/random/,Soda,I eat more junk food now.,worse,worse quality ,2-3 times ,yes part time ,nan,Lawyer,Spanish,Spanish/mexican,nan,Mcdonald’s fries,likely ,Senior,5,Plenty of greens and lean proteins,"Plenty of protein, carbs from vegetables and fruits, and healthy fats.",more protein,"$70,001 to $100,000 ",very likely ,very likely ,Single,Lawyer,1-2 times a week ,$20.01 to $30.00 ,veggie soup,Yes,Soccer,very likely,yes,nan
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Ice cream, cookies,  Chinese food, and chicken nuggets ","boredom, sadness, and if it has a good taste. ",boredom,I only help a little during holidays ,Mexican/Spanish,I eat a a lot of carbs from pizza and pasta. I also eat a lot of cookies. ,unhealthy/cheap/too much/random/,Orange Juice,I eat more junk food,worse,worse quality ,1-2 times ,no,Once a week,landscaping ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,freshman ,7,A balance of vegetables and cooked lean meat.,my ideal diet would be more fruits and vegetables. Also less desserts. ,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",unlikely,very likely ,Single,unemployed,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,neutral ,yes,128
Female,Cereal,it is moderately important ,420,espresso shown,"french fries, chips, ice cream","boredom, stressed, sad",boredom,I only help a little during holidays ,American,egan dining,unhealthy/cheap/too much/random/,Orange Juice,poor,worse,worse quality ,2-3 times ,no,Everyday,Vice President of a company,French,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,1,a lot of greens,healthy and protien,more protein,"higher than $100,000",very unlikely ,very likely ,Single,stylist,never,$20.01 to $30.00 ,veggie soup,Yes,softball,likely,yes,150
Female,Cereal,it is not at all important,420,espresso shown,"mac n cheese, peanut butter and banana sandwich, omelet",Boredom usually,boredom,Every day ,American,"A lot of rice and veggies, eggs for breakfast, chicken is usually the only kind of meat I eat.",the same thing over and over,Orange Juice,My diet is more limited just because of what I have time to make,worse,worse quality ,1-2 times ,no,Everyday,Owns his own promotional company ,American or Italian,American,cooked at home ,Mcdonald’s fries,very likely ,Junior,2,"Some kind of protein, a vegetable, and a grain",Pretty much what I eat now,current diet,"$50,001 to $70,000 ",very unlikely ,very likely ,In a relationship ,Works in retail,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Lacrosse,very likely,no,150
Female,Cereal,it is moderately important ,420,espresso shown,"pizza, doughnuts, mcdonalds ",boredom,boredom,"Whenever I can, but that is not very often  ",nan,"I eat out more often then not. I try to make sure when I eat out it isn't fast food, but instead something healthy like Panera. ",unhealthy/cheap/too much/random/,Soda,I do not snack as often at school. I find that I'm always busy so sometimes I don't have a lot of time to eat. ,worse,less food,3-5 times ,yes part time ,Everyday,Optometrist ,Italian or Chinese ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Sophomore ,7,"a meal with a meat, vegetable, grain, and fruit ",I wish I had the time and energy to cook more at home on my own. ,home cooked/organic,"higher than $100,000",unlikely,very likely ,Single,Homemaker ,2-3 times a week ,$10.01 to $20.00 ,creamy soup,Yes,Softball ,very likely,no,150
Female,Cereal,it is very important,420,espresso shown,"chocolate, chips, candy",Stress,stress,A couple of times a week ,other,"I do not get to eat as well as I did.  I wish I ate better, but in college it is hard because of money.",unhealthy/cheap/too much/random/,Soda,I do not eat as many home cooked meals.,worse,worse quality ,1-2 times ,yes part time ,Once a week,Construction ,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Senior,4,"A protein, starch, veg, and a healthier dessert. ",I would like to get all of the food groups in each day.  ,adding veggies/eating healthier food/adding fruit,"higher than $100,000",neutral,very likely ,In a relationship ,Head of Human Resouces,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Dancing,likely,no,170
